Fecha (mes y año),Alcalinidad,Conductividad,DBO,DQO,Dureza,Fenoles,N-Amoniacal,Cloruros,N-Nitrato,P-Fosfato,Oxígeno disuelto,pH,Sólidos suspendidos totales,SAAM-Detergentes,Turbidez,Coliformes totales,Escherichia Coli,Norte (Y),Este(X) ,Caudal,Temperatura agua,Temperatura aire
1/08/2020,"56,12",443,"10,70","25,94","91,06","0,291","3,584","47,86","16,11","1,26",0,"7,90",12,#N/A,"4,30",210000,31000,1002982,964446,"395,1",24,"29,1"
1/08/2020,119,697,"83,80",2,"60,01","0,586","31,597","75,99","0,24","3,48","2,40","7,66",92,"2,79","52,90",11000000,11000000,1000352,960214,3077,21,"29,1"
1/08/2020,232,784,"74,7",208,110,#N/A,"27,240","69,86","0,23","1,65",0,"7,5",167,"0,94","54,90",7600000,2400000,957445,999229,#N/A,#N/A,"24,5"
1/08/2020,86,538,"7,2","23,1",117,#N/A,"3,456","45,01","10,74","1,63","3,9","7,3",#N/A,#N/A,"2,54",140000,8400,957190,998194,#N/A,#N/A,"27,4"
1/08/2020,233,708,111,265,"62,79",#N/A,"30,816","73,86","0,25","2,74",0,"7,5",128,"2,89","38,70",20000000,5000000,957136,999141,#N/A,#N/A,"27,4"
1/08/2020,339,1060,"61,3",164,139,#N/A,"38,605","91,86","0,65","5,79","2,1","7,8","57,5","2,10","38,20",1100000,350000,948326,993320,#N/A,#N/A,"28,8"
1/08/2020,72,297,#N/A,#N/A,"99,01","0,271",#N/A,"4,71","0,42",#N/A,"6,48","7,94","13,3",#N/A,"5,76",22000,520,947339,989190,#N/A,"25,2","24,5"
1/08/2020,154,665,407,240,"55,7","0,441","21,327","63,38","0,17","1,25","6,48","7,94",57,"1,58","59,90",2400000,2400000,945549,990153,19880,"20,9","25,9"
1/08/2020,118,834,6,122,289,#N/A,#N/A,"15,83","1,06",#N/A,"5,69","8,47",254,#N/A,254,520000,23000,942801,991370,#N/A,"31,6","28,2"
1/08/2020,179,625,"60,0",166,"68,39",#N/A,"26,630","65,70",#N/A,"1,70","5,11","7,87",16,"1,33","45,7",8200000,1400000,941070,984399,45281,#N/A,"28,1"
1/08/2020,239,872,129,244,116,#N/A,"32,251","81,90","0,18","2,58","1,22","7,48","90,0","2,51","59,7",260000000,88000000,937360,983724,#N/A,29,"27,1"
1/08/2020,177,634,"20,7",131,"66,57",#N/A,"25,845","64,60","0,17","1,41","3,63","7,69","84,0","1,35","40,2",2600000,770000,934310,980854,#N/A,"23,2","28,1"
1/08/2020,171,"624,5","23,7",364,"76,93","0,522","23,343","63,30","0,17","1,50","1,20","7,56",368,"0,86",124,3100000,1200000,920381,967436,49286,"24,2","29,1"
1/03/2021,8,"17,10","3,50","17,34","8,51",#N/A,#N/A,"1,14",#N/A,#N/A,"2,12","6,78",5,#N/A,"2,05",1950,153,1070829,1055113,"66,5","11,6","10,1"
1/03/2021,"13,46","44,60","4,60",20,"14,31",#N/A,#N/A,"5,09",#N/A,#N/A,"5,94","7,06",10,#N/A,"5,24",64900,3890,1069273,1053789,"41,5","12,5","15,8"
1/03/2021,"28,98","96,50","29,40","47,58","16,44",#N/A,#N/A,"10,66",#N/A,#N/A,"0,28","7,68","14,40",#N/A,10,1280000,311000,1068398,1053081,140,"13,8",19
1/03/2021,"20,80","39,70","26,50","45,16","7,55",#N/A,#N/A,"2,58","0,13",#N/A,"7,07","7,77","17,10",#N/A,"10,20",1520000,487000,1068407,1053004,177,"12,7","18,8"
1/03/2021,"25,25",109,14,"35,48","15,94",#N/A,#N/A,"11,13",#N/A,#N/A,"4,16","6,94",17,#N/A,"6,13",242000,34500,1066610,1031382,501,16,"16,1"
1/03/2021,"49,68",585,"37,60",2,"43,84",#N/A,#N/A,106,"0,19",#N/A,"1,72","7,70",30,#N/A,"6,38",115000,23100,1063667,1049106,506,"11,6","9,5"
1/03/2021,"5,33","12,5","3,4","18,75","5,55",#N/A,#N/A,"1,01",#N/A,#N/A,"4,67","5,96",8,#N/A,"7,35",2880,310,1061552,1044705,166,"12,8","8,7"
1/03/2021,"45,54",409,"23,4","49,59","36,51",#N/A,#N/A,"70,23",#N/A,#N/A,"3,62","8,30","17,5",#N/A,"10,60",51700,2280,1060573,1042153,803,"13,6","17,7"
1/03/2021,260,692,202,293,"41,78",#N/A,#N/A,"49,34",#N/A,"4,07","0,60","7,77","1,3","3,62",118,435000,108000,1060584,1042256,"32,4",27,"24,3"
1/03/2021,70,417,"32,80",169,"36,98",#N/A,#N/A,"69,23",#N/A,#N/A,"0,70","7,12",20,"0,48",14,86600,10900,1056715,1041167,702,"16,5","9,9"
1/03/2021,"7,90","24,90","4,40",2,"9,24",#N/A,#N/A,"3,15",#N/A,#N/A,"5,21","6,74",24,#N/A,"31,10",2790,435,1055222,1039055,782,"14,9","9,7"
1/03/2021,"2,40",128,"13,80",2,"16,72",#N/A,#N/A,"19,19",#N/A,#N/A,"2,99","6,88",16,#N/A,"19,50",9320,"37,9",1056380,1035918,2456,"17,3","22,3"
1/03/2021,"19,46",115,"4,80","19,15","18,14",#N/A,#N/A,"13,07","1,06",#N/A,"4,01","6,77",19,#N/A,"23,60",8500,771,1055044,1031598,2725,16,"15,7"
1/03/2021,237,847,"91,20",396,"72,39",#N/A,#N/A,"81,17",#N/A,#N/A,"3,70","8,08",180,"0,64",103,1200000,326000,1054452,1031352,"2,83","18,1","18,5"
1/03/2021,"26,93",143,"5,70","36,9","25,62",#N/A,#N/A,"24,67","1,32",#N/A,"2,59","6,76",21,#N/A,"19,90",54800,5630,1051511,1030403,3559,"15,8","14,2"
1/03/2021,"14,26",46,"4,30","32,20","13,3",#N/A,#N/A,"7,29",#N/A,#N/A,"6,74","7,11","12,9",#N/A,"8,22",2420,#N/A,1050761,1030450,4160,"18,2","20,9"
1/03/2021,745,119,"6,40","37,50","22,81",#N/A,#N/A,"18,20","0,96",#N/A,"4,42","6,90",15,#N/A,"19,30",28500,2560,1049299,1026886,#N/A,"18,3","12,3"
1/03/2021,"26,73",128,"9,30","41,80","26,36",#N/A,#N/A,"16,89","1,33",#N/A,"5,48","7,07",26,#N/A,"32,60",29100,3690,1049273,1025197,#N/A,16,"12,1"
1/03/2021,"40,59",189,"7,30","36,04","45,68",#N/A,#N/A,"21,37","2,12","0,41","7,95","7,55",26,#N/A,"22,80",54800,6910,1043617,1021471,9688,"13,4","12,8"
1/03/2021,"52,67",374,2,"23,50","93,22",#N/A,#N/A,"43,60","1,33",#N/A,"2,70","6,60",820,#N/A,983,63800,26600,1051477,1017580,708,"15,1","14,2"
1/03/2021,"41,58",200,"5,6",2,"44,67",#N/A,#N/A,"17,89","1,48",#N/A,"2,98","7,84",22,#N/A,"29,90",130000,8160,1041563,1017865,9917,"17,2","21,1"
1/03/2021,"21,98",525,"33,8","64,2","58,61",#N/A,#N/A,"55,46","21,89",#N/A,"5,14","7,58",38,#N/A,"21,70",77000,3730,1041206,1017478,"91,1","19,8","17,6"
1/03/2021,"44,54",241,"15,5",165,"48,7",#N/A,#N/A,"24,08","0,65",#N/A,"2,94","7,85",612,#N/A,771,236000,41400,1046898,1012938,2100,"16,4","14,4"
1/03/2021,"55,04",211,8,2,"45,67",#N/A,#N/A,"18,19","1,58",#N/A,"2,10","7,20","37,10",#N/A,"32,50",2100000,112000,1041910,1014822,11232,"17,3","15,5"
1/03/2021,"13,37","70,60","3,8","56,19","20,96",#N/A,#N/A,"9,57","0,19",#N/A,"5,86","7,98",#N/A,#N/A,"4,71",20100,102,1056698,1012027,677,"14,9","13,3"
1/03/2021,"56,63",211,"6,20","46,94","43,42",#N/A,#N/A,"18,56","1,31",#N/A,"1,10","6,91",24,#N/A,"28,20",64900,6310,1041707,1012504,13713,"17,2","11,3"
1/03/2021,"15,64","86,30",4,"40,64","27,3",#N/A,#N/A,"10,54","0,34",#N/A,"4,10","6,91",6,#N/A,"4,96",2490,101,1051761,1016918,478,"14,7","11,2"
1/03/2021,"51,48",213,"7,80","47,80","45,76",#N/A,#N/A,"19,46","1,23",#N/A,2,"6,98",142,#N/A,214,102000,14800,1044081,1011784,#N/A,"16,8","11,4"
1/03/2021,276,1605,123,274,"85,84",#N/A,#N/A,320,#N/A,"3,49","0,00","7,76",86,"3,25","89,10",48800000,6970000,1045150,1009890,765,"18,1","28,1"
1/03/2021,44,181,"4,40","48,40","35,86",#N/A,#N/A,"16,59","0,74",#N/A,"1,17","6,86",34,#N/A,"82,60",49600,7400,1039004,1007288,13339,"17,1","19,3"
1/03/2021,"47,52",213,"8,30","45,10","47,33",#N/A,#N/A,"24,71","0,41",#N/A,"2,87","7,13",26,#N/A,"46,90",105000,15400,1037627,1010526,4736,"16,3",12
1/03/2021,"62,96",547,"13,50",2,"53,51",#N/A,#N/A,"52,61","0,25",#N/A,"2,36","7,42",42,#N/A,83,579000,49600,1035917,1007887,11471,"17,5","19,1"
1/03/2021,101,323,"36,9",177,"70,79",#N/A,#N/A,"25,64",#N/A,#N/A,"1,95","7,46",114,"0,95","37,40",17200000,3640000,1034404,1006024,"25,8","18,8","17,7"
