"pointid","xcoord","ycoord"
157,987566.527230648,1017929.93580054
158,991726.251296216,1013552.17163692
159,964452.485152596,1014251.05243342
160,964451.955105564,1013099.14086111
161,967227.885528475,1018396.69946044
162,999122.55051541,1012169.461519
163,988952.236675678,1010787.97048455
164,961447.479254954,1013791.72916017
165,959827.718495554,1010336.80557739
166,983638.53711873,1022999.03198095
167,979706.367029001,1010329.0761241
168,989645.574639974,1010096.73842027
169,979474.857061636,1008946.85866107
170,980168.306001005,1008946.67918048
171,959364.219110539,1008033.21436085
172,961445.189464,1009184.07286809
173,975082.640063795,1007796.23771273
174,977857.727499334,1012172.62058936
175,961444.392822896,1007571.39445621
176,966761.869977681,1009642.38708719
177,966760.986575996,1007568.95301897
178,970228.932795112,1009180.22210801
179,952893.783090666,1011262.23701304
180,951966.63473802,1007115.87365315
181,993574.835501954,1007562.15039533
182,989414.022878097,1007101.84575238
183,981554.65934991,1006642.54521862
184,982249.440900252,1012401.86950193
185,950810.252606261,1006195.05106887
186,951503.742933754,1006194.61892882
187,985253.809710064,1010097.44698467
188,984328.440788095,1006181.18299936
189,951040.553862242,1004812.59610913
190,982478.87264377,1004799.29982473
191,992418.782293619,1004567.33411339
192,952195.970695952,1004120.73061049
193,982478.769973504,1004338.54169262
194,985252.723948351,1004337.97276057
195,963523.194994234,1004114.66546205
196,963522.874874633,1003423.51971033
197,965372.221975617,1003422.68541981
198,966296.894424589,1003422.28454931
199,966759.230382199,1003422.08818272
200,971153.107853891,1008027.97040611
201,950114.715447213,1002970.09593682
202,964909.680411972,1002962.12671889
203,965603.189140938,1002961.8212531
204,967221.374607726,1002961.13221232
205,971151.58235301,1003881.11898101
206,977624.145772223,1003648.63395506
207,981091.459978865,1002956.58791009
208,948266.38697777,1004583.9873217
209,949652.074907962,1002509.61915874
210,962135.751880005,1003193.79172695
211,962135.420184383,1002502.64526098
212,954044.114514072,1002046.1722137
213,961672.6299882,1001581.33952125
214,969532.353907797,1001117.16004223
215,969532.088097121,1000426.01823389
216,977854.923235525,1002266.29168604
217,980628.561123506,1000652.90912129
218,984789.688374187,1000652.00110727
219,943871.541267798,1000900.80765802
220,944564.600994742,1000209.15920381
221,944565.730020926,1001821.86603519
222,959822.532219545,1000199.96201004
223,960516.068423734,1000199.61370561
224,970919.06004876,1000195.116931
225,972537.694854129,1001346.4406256
226,967913.481103145,999505.133326143
227,970225.270696583,999504.232969709
228,981090.689262773,999731.281628335
229,947800.549447379,999285.420453464
230,957510.248142489,999279.634722713
231,948956.028148291,998593.513713435
232,947337.569762913,998364.182707295
233,965369.905758142,998123.913908744
234,973230.203537012,998351.263633342
235,945487.752352173,997904.655341756
236,951267.183337877,997440.141425762
237,973229.662055407,996738.604923197
238,988719.080511738,996734.914556316
239,964213.26332349,996511.755153868
240,982939.361041388,996275.183076025
241,944561.394866742,995601.428994998
242,944099.002058059,995601.75060922
243,944098.680386292,995140.977588357
244,945254.5111131,994909.793158277
245,942942.362396342,994681.018864695
246,944098.359008243,994680.204620301
247,978315.066295571,994202.8928807
248,979239.837747532,994202.648350006
249,980164.267617872,992820.142470595
250,942708.53885562,990994.994748802
251,946869.704541732,990070.608788514
252,976926.655423662,989826.07913382
253,988255.635010864,989362.887858523
254,947793.956089973,989148.466717021
255,964211.823170984,993286.417509395
256,955193.148249427,989835.189382391
257,955192.766037679,989144.040355164
258,961898.644244182,990753.28240613
259,957042.458710141,989143.039265767
260,956579.789253866,988682.520322663
261,984324.821788805,987750.907000656
262,979238.769541897,990055.831851163
263,985712.085887842,987750.651388146
264,986405.717679656,987750.532457921
265,952417.140312754,987302.551807508
266,960047.295193668,987298.448329097
267,985711.96452244,987059.518042841
268,939243.684512377,995374.900736977
269,936692.38191221,985009.378648996
270,937386.069380124,985008.844490581
271,950103.550036234,985000.094684492
272,941316.620728574,984545.15515227
273,937153.779315777,983626.692586839
274,943628.272555297,983621.985749598
275,946403.037190789,983620.125051337
276,983167.771202885,982913.202434249
277,950564.610206285,982695.974536632
278,934843.096151612,985701.999188899
279,935302.823328835,982245.798460832
280,935302.460953349,981785.020946999
281,932298.81949094,984782.508294896
282,933913.917780269,980403.787950257
283,933913.549021481,979943.009612981
284,939232.660350497,980630.088157248
285,929057.987473888,980638.210050986
286,930675.730007601,979484.881959121
287,930215.379886562,982019.56784457
288,932525.703915353,979483.351790029
289,945475.370943069,979473.799551285
290,930675.343909804,979024.101239549
291,932525.140358971,978792.182881128
292,946168.646690319,978782.190218005
293,935762.4294975,978559.219906957
294,948018.304202067,978320.23963358
295,983167.253062266,980379.047949367
296,981548.21967067,978536.372157856
297,982704.404244795,978536.12273808
298,927438.463741135,979718.05103729
299,927899.154205808,977644.123354833
300,943855.271229235,977401.412010301
301,927436.244686041,977183.743250867
302,928130.008763087,977183.140261831
303,926513.88179035,980179.652411041
304,925585.790442435,976724.594936671
305,941079.797633787,976712.174994695
306,923736.789757872,977878.236422965
307,924197.827548994,976265.062274385
308,938303.926285268,975562.250464168
309,923273.004090053,976496.302987447
310,923271.94309936,975344.336794242
311,921652.459747965,974654.660024418
312,922808.141930094,973962.403340746
313,914248.410746114,971205.971164395
314,913555.051906464,971667.476204622
315,911011.736716339,972361.327633186
316,912628.988231187,970746.841060396
317,918412.279571451,972123.411688711
318,922804.753058953,970276.111611675
319,910314.229127659,968906.080286978
320,926276.508253134,973268.098483475
321,924191.165293415,968892.497262491
322,926503.951291763,968890.454931895
323,931826.681767998,973033.007911627
324,923265.630071249,968432.546226371
325,927659.749634342,968198.284554731
326,922802.648196913,967972.180903826
327,934603.110816106,974643.516322225
328,935291.747768786,967961.719172755
329,920490.037219313,968204.714424532
330,920489.388561662,967513.532335356
331,909849.206641928,966602.580896867
332,918639.330282658,967745.682571482
333,918175.649681206,966594.152688727
334,924189.104250402,966588.573318315
335,924882.959950812,966587.956942428
336,909848.717864349,966141.782765122
337,920025.517311789,966131.602294105
338,925345.125180081,966126.765520616
339,908923.049959475,965681.969640766
340,915864.363505841,968209.185027358
341,916786.567117994,965213.126912099
342,932976.79051744,965198.852286548
343,915397.895954002,964292.908718607
344,932513.489953681,964277.662024679
345,921873.710208537,963825.949633295
346,930664.493253647,965891.871960223
347,930199.474384645,962897.183682034
348,926034.99473531,961518.331201504
349,927422.393670084,961056.365656908
350,920482.528037753,960140.93028953
351,925568.423622751,956910.903946627
